trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response responseTime
64 147 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 1.25 3.0 1560.75 3.14974617958
65 137 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.5 3.0 1545.5 2.61045908928
66 154 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.5 3.0 2102.5 3.61688017845
67 205 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.5 3.0 2446.0 4.15842294693
68 82 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.75 3.0 -3077.75 3.19980788231
69 186 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 2.5 3.0 -2911.5 3.44915986061
70 138 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 1.5 3.0 1668.0 2.84039092064
71 29 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.75 3.0 -1750.75 2.83263683319
72 274 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.5 3.0 2020.0 3.24106502533
73 5 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.25 3.0 -3275.5 4.05792999268
74 188 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.25 3.0 2935.25 3.39956617355
75 85 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 1.75 3.0 2531.5 3.89114713669
76 299 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.75 3.0 2876.75 4.09966397285
77 66 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 3.25 3.0 -4584.75 3.98402309418
78 40 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.5 3.0 2141.5 3.89975690842
79 190 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 3.25 3.0 -3183.5 2.89149785042
80 111 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 3.5 3.0 -3249.0 2.67533421516
81 245 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.25 3.0 2108.75 4.14317989349
82 297 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.75 3.0 3720.75 3.46722412109
83 38 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.25 3.0 -1480.75 3.38232707977
84 197 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.5 3.0 2298.5 3.90022087097
85 172 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 0.75 3.0 1303.75 4.19907188416
86 255 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.75 3.0 -1866.0 3.37500810623
87 209 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.75 3.0 2597.75 3.79985499382
88 207 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.0 3.0 -2457.0 3.70851588249
89 159 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 2.25 3.0 -2608.5 3.42468595505
90 340 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 3.25 3.0 -4876.25 4.46709799767
91 237 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.25 3.0 2145.75 4.24990200996
92 162 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.5 3.0 -1431.0 2.958329916
93 203 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 3.5 3.0 -3850.0 3.22428202629
94 102 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.25 3.0 None None
95 78 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.0 3.0 132.0 0.156913995743
96 105 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 0.75 3.0 -774.75 3.26603984833
97 344 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 3.5 3.0 -2848.0 2.54119205475
98 102 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.0 3.0 1179.0 2.99990105629
99 110 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 0.75 3.0 886.25 2.87687802315
100 210 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 3.5 3.0 3234.0 2.40877485275
101 22 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 2.25 3.0 -2644.25 3.29307818413
102 151 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 3.5 3.0 -4154.0 3.42527914047
103 245 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.0 3.0 -2065.0 3.21572494507
104 216 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.75 3.0 -3240.75 3.4930729866
105 169 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.0 3.0 -1004.0 3.26014900208
106 121 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 2.25 3.0 -2896.25 3.73359513283
107 306 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.75 3.0 3461.25 5.01673102379
108 298 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 2.0 3.0 2620.0 3.22712087631
109 295 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.5 3.0 2158.0 3.45174002647
110 176 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.25 3.0 -2179.75 2.91605186462
111 122 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.5 3.0 2867.0 3.05122518539
112 285 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 1.5 3.0 -1852.5 3.96700692177
113 133 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.75 3.0 2521.75 3.79998612404
114 130 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 1.75 3.0 1993.75 2.96569800377
115 7 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.25 3.0 2923.0 3.60214591026
116 202 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.25 3.0 3037.0 3.50805902481
117 131 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 2.75 3.0 2556.5 2.45862603188
118 244 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 2.0 3.0 -1976.0 3.0918200016
